============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.10-p002_1
  Generated on:           Apr 13 2023  02:06:44 am
  Module:                 top_FNN
  Technology library:     uk65lscllmvbbr_120c25_tc 
  Operating conditions:   uk65lscllmvbbr_120c25_tc (balanced_tree)
  Wireload mode:          top
  Area mode:              timing library
============================================================

                                      
     Gate       Instances     Area              Library           
NR3B1M4R                2       7.920    uk65lscllmvbbr_120c25_tc 
NR3M1R                 20      43.200    uk65lscllmvbbr_120c25_tc 
NR3M2R                616    1330.560    uk65lscllmvbbr_120c25_tc 
NR3M4R                 32     103.680    uk65lscllmvbbr_120c25_tc 
NR3M6R                 16      74.880    uk65lscllmvbbr_120c25_tc 
NR3M8R                  9      58.320    uk65lscllmvbbr_120c25_tc 
NR4B1M1R              938    2701.440    uk65lscllmvbbr_120c25_tc 
NR4B1M2R               17      79.560    uk65lscllmvbbr_120c25_tc 
NR4B2M1R              144     518.400    uk65lscllmvbbr_120c25_tc 
NR4B2M2R                3      16.200    uk65lscllmvbbr_120c25_tc 
NR4M16RA                2      15.120    uk65lscllmvbbr_120c25_tc 
NR4M1R               4878   12292.560    uk65lscllmvbbr_120c25_tc 
NR4M2R                 26     102.960    uk65lscllmvbbr_120c25_tc 
NR4M4RA                 1       7.200    uk65lscllmvbbr_120c25_tc 
OA211M2RA             743    2139.840    uk65lscllmvbbr_120c25_tc 
OA211M4RA              10      32.400    uk65lscllmvbbr_120c25_tc 
OA21M12RA               1       7.560    uk65lscllmvbbr_120c25_tc 
OA21M1RA                6      15.120    uk65lscllmvbbr_120c25_tc 
OA21M2RA             2070    5216.400    uk65lscllmvbbr_120c25_tc 
OA21M4RA               85     244.800    uk65lscllmvbbr_120c25_tc 
OA21M6RA               17      91.800    uk65lscllmvbbr_120c25_tc 
OA21M8RA               12      69.120    uk65lscllmvbbr_120c25_tc 
OA221M2RA            1292    4651.200    uk65lscllmvbbr_120c25_tc 
OA221M4RA              13      56.160    uk65lscllmvbbr_120c25_tc 
OA222M2RA             959    4142.880    uk65lscllmvbbr_120c25_tc 
OA22M12RA               1       9.360    uk65lscllmvbbr_120c25_tc 
OA22M1R                13      42.120    uk65lscllmvbbr_120c25_tc 
OA22M2R               892    2890.080    uk65lscllmvbbr_120c25_tc 
OA22M4R               276     993.600    uk65lscllmvbbr_120c25_tc 
OA22M6RA               34     220.320    uk65lscllmvbbr_120c25_tc 
OA22M8RA               29     198.360    uk65lscllmvbbr_120c25_tc 
OA31M2RA              350    1008.000    uk65lscllmvbbr_120c25_tc 
OA31M8RA                1       6.480    uk65lscllmvbbr_120c25_tc 
OA32M2RA              808    2908.800    uk65lscllmvbbr_120c25_tc 
OA32M4RA                5      21.600    uk65lscllmvbbr_120c25_tc 
OA33M2RA              136     538.560    uk65lscllmvbbr_120c25_tc 
OAI211B100M1R         184     596.160    uk65lscllmvbbr_120c25_tc 
OAI211B100M2R        1534    4970.160    uk65lscllmvbbr_120c25_tc 
OAI211B100M8RA          1       9.720    uk65lscllmvbbr_120c25_tc 
OAI211M1R             188     473.760    uk65lscllmvbbr_120c25_tc 
OAI211M2R            4523   11397.960    uk65lscllmvbbr_120c25_tc 
OAI211M4R              24     103.680    uk65lscllmvbbr_120c25_tc 
OAI21B01M1R            29      83.520    uk65lscllmvbbr_120c25_tc 
OAI21B01M2R           276     794.880    uk65lscllmvbbr_120c25_tc 
OAI21B01M4R            38     164.160    uk65lscllmvbbr_120c25_tc 
OAI21B01M6RA           31     178.560    uk65lscllmvbbr_120c25_tc 
OAI21B10M12RA           3      31.320    uk65lscllmvbbr_120c25_tc 
OAI21B10M1R            15      43.200    uk65lscllmvbbr_120c25_tc 
OAI21B10M2R           361    1039.680    uk65lscllmvbbr_120c25_tc 
OAI21B10M4R           253    1092.960    uk65lscllmvbbr_120c25_tc 
OAI21B10M6RA           44     253.440    uk65lscllmvbbr_120c25_tc 
OAI21B10M8RA           11      83.160    uk65lscllmvbbr_120c25_tc 
OAI21B20M12RA          24     216.000    uk65lscllmvbbr_120c25_tc 
OAI21B20M1R            39      98.280    uk65lscllmvbbr_120c25_tc 
OAI21B20M2R          3147    7930.440    uk65lscllmvbbr_120c25_tc 
OAI21B20M4R          1449    4694.760    uk65lscllmvbbr_120c25_tc 
OAI21B20M6RA          138     745.200    uk65lscllmvbbr_120c25_tc 
OAI21B20M8RA           20     108.000    uk65lscllmvbbr_120c25_tc 
OAI21M12RA              8      72.000    uk65lscllmvbbr_120c25_tc 
OAI21M1R              194     419.040    uk65lscllmvbbr_120c25_tc 
OAI21M2R             5658   12221.280    uk65lscllmvbbr_120c25_tc 
OAI21M3R              125     405.000    uk65lscllmvbbr_120c25_tc 
OAI21M4R              929    3009.960    uk65lscllmvbbr_120c25_tc 
OAI21M6R              176     823.680    uk65lscllmvbbr_120c25_tc 
OAI21M8R              106     648.720    uk65lscllmvbbr_120c25_tc 
OAI221M1R               9      29.160    uk65lscllmvbbr_120c25_tc 
OAI221M2R            3155   10222.200    uk65lscllmvbbr_120c25_tc 
OAI222M1RA              2       7.200    uk65lscllmvbbr_120c25_tc 
OAI222M2RA           3408   12268.800    uk65lscllmvbbr_120c25_tc 
OAI22B10M1R           108     349.920    uk65lscllmvbbr_120c25_tc 
OAI22B10M2R           769    2491.560    uk65lscllmvbbr_120c25_tc 
OAI22B10M4R           397    2143.800    uk65lscllmvbbr_120c25_tc 
OAI22B10M8RA            4      38.880    uk65lscllmvbbr_120c25_tc 
OAI22B20M1R            20      64.800    uk65lscllmvbbr_120c25_tc 
OAI22B20M2R           735    2381.400    uk65lscllmvbbr_120c25_tc 
OAI22B20M4R          2602   12177.360    uk65lscllmvbbr_120c25_tc 
OAI22B20M8RA            1       6.840    uk65lscllmvbbr_120c25_tc 
OAI22M1R              119     299.880    uk65lscllmvbbr_120c25_tc 
OAI22M2R             5414   13643.280    uk65lscllmvbbr_120c25_tc 
OAI22M4R              503    2172.960    uk65lscllmvbbr_120c25_tc 
OAI22M6RA              37     226.440    uk65lscllmvbbr_120c25_tc 
OAI31M1R                4      10.080    uk65lscllmvbbr_120c25_tc 
